Gene	sgRNA	HL60|beta	HL60|z	HL60|p-value	HL60|fdr	HL60|wald-p-value	HL60|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
PSEN1	10	0.068623	0.65517	0.555	0.91901	0.51236	0.80941	-0.015346	-0.14651	0.857	0.93559	0.88352	0.93645
PSIP1	10	0.34955	2.2284	0.016	0.25397	0.025855	0.24851	-0.035134	-0.22341	0.939	0.97004	0.82322	0.90467
PSMA2	10	-0.47674	-2.4339	0.013	0.22414	0.014938	0.21236	-0.73096	-3.7272	0.004	0.056338	0.00019359	0.0028469
PSMA5	10	-0.59189	-3.0357	0.001	0.033333	0.0023997	0.068562	-1.0972	-5.6222	0	0	1.8859e-08	1.1093e-06
PSMB3	10	-0.14677	-0.83885	0.497	0.88909	0.40155	0.75947	-0.6059	-3.4564	0.015	0.12598	0.00054743	0.0065955
PSMB6	10	-0.37101	-1.8175	0.057	0.46721	0.069142	0.37306	-0.79763	-3.9052	0.002	0.034483	9.4128e-05	0.0016325
PSMD10	10	0.22843	1.7336	0.115	0.59184	0.082981	0.40087	0.21761	1.6515	0.135	0.40909	0.098632	0.26802
PSMD13	10	-0.081448	-0.41411	0.774	0.94921	0.67879	0.89669	-0.31173	-1.5835	0.192	0.48855	0.11332	0.28405
PSMD7	10	-0.1149	-0.68126	0.627	0.94428	0.49571	0.80002	-0.6204	-3.6754	0.011	0.11504	0.00023752	0.0032989
PSME1	10	0.324	2.3155	0.025	0.31646	0.020587	0.22137	0.2286	1.6337	0.119	0.3871	0.10233	0.27294
PTGDS	10	0.31412	2.1828	0.032	0.34409	0.029051	0.25483	0.23379	1.6246	0.108	0.36486	0.10424	0.27505
PTGES2	10	-0.27238	-1.6434	0.186	0.65493	0.10029	0.43606	-0.12087	-0.72963	0.719	0.86826	0.46562	0.64849
PTPN18	10	-0.05803	-0.36176	0.877	0.96638	0.71754	0.90029	0.38577	2.4089	0.012	0.11504	0.016	0.085106
PTTG1	10	-0.3115	-1.4899	0.11	0.58031	0.13624	0.47723	-0.95126	-4.5219	0.002	0.034483	6.1299e-06	0.00016567
R3HDM2	10	0.27443	1.6004	0.064	0.49612	0.1095	0.44472	-0.089336	-0.52096	0.835	0.93326	0.6024	0.74739
RAB11FIP3	10	0.05285	0.33415	0.635	0.94428	0.73827	0.91144	-0.024752	-0.1565	0.896	0.95127	0.87564	0.93352
RAB34	10	-0.1461	-1.3851	0.501	0.89007	0.16603	0.52045	-0.092906	-0.88125	0.825	0.93251	0.37818	0.57174
RAD51	10	-0.35833	-1.6945	0.067	0.5035	0.090165	0.41937	-0.85442	-4.0306	0.002	0.034483	5.563e-05	0.0010496
RAF1	10	-0.31068	-2.6303	0.112	0.58031	0.0085314	0.15217	-0.010506	-0.088983	0.839	0.93326	0.9291	0.96479
RAG1	10	0.26991	2.1327	0.07	0.5035	0.032949	0.26788	0.026067	0.20591	0.697	0.86543	0.83686	0.9126
RALGAPA2	10	-0.016243	-0.13374	0.935	0.98115	0.89361	0.97431	0.23112	1.9039	0.114	0.38	0.056924	0.18542
RANBP9	10	-0.42861	-2.2875	0.027	0.3253	0.022169	0.23122	-0.50976	-2.7205	0.041	0.23164	0.0065176	0.04403
RAN	10	-0.91617	-3.1906	0	0	0.00142	0.061739	-1.5195	-5.2528	0	0	1.4982e-07	6.2424e-06
RASL11A	10	-0.09524	-0.71569	0.715	0.94921	0.47418	0.79809	-0.24501	-1.8407	0.326	0.61742	0.065664	0.20352
RAVER2	10	0.030365	0.24348	0.729	0.94921	0.80763	0.94429	-0.039887	-0.31985	0.962	0.97467	0.74908	0.863
RBBP4	10	-0.12274	-0.70165	0.59	0.93651	0.4829	0.79809	-0.42583	-2.4327	0.085	0.32946	0.014985	0.081
RBBP8	10	-0.0097833	-0.064788	0.907	0.97647	0.94834	0.98707	-0.17614	-1.1663	0.527	0.75286	0.2435	0.44843
RBFOX3	10	0.20657	1.3169	0.14	0.6087	0.18786	0.54769	0.22428	1.4302	0.129	0.40062	0.15267	0.33972
RBM14	10	-0.64247	-2.612	0	0	0.0090023	0.15521	-2.1038	-8.4212	0	0	3.7266e-17	3.7266e-14
RBM17	10	-0.36353	-1.8366	0.063	0.49606	0.066263	0.36609	-0.36851	-1.8632	0.125	0.39557	0.06244	0.19697
RBM22	10	-0.69793	-2.9452	0	0	0.0032276	0.084938	-0.80943	-3.4146	0.002	0.034483	0.00063879	0.0073424
RBM45	10	-0.048404	-0.37099	0.918	0.97764	0.71064	0.90029	0.14373	1.1021	0.299	0.60282	0.27043	0.47032
RBMXL1	10	-0.13627	-0.92989	0.538	0.9042	0.35243	0.72071	-0.12358	-0.84338	0.701	0.86543	0.39902	0.59377
RBPJ	10	0.1065	0.80216	0.395	0.82708	0.42246	0.77667	0.068067	0.51273	0.516	0.74459	0.60814	0.74897
RBPMS	10	-0.12197	-1.0121	0.594	0.9375	0.31148	0.67274	-0.099745	-0.82777	0.795	0.91379	0.4078	0.60148
RCOR2	10	0.12767	0.78703	0.327	0.78417	0.43127	0.77667	-0.12676	-0.7804	0.684	0.86289	0.43515	0.619
RCOR3	10	0.029185	0.18077	0.735	0.94921	0.85655	0.96045	0.35279	2.1872	0.018	0.13139	0.028728	0.12491
RECQL4	10	-0.30733	-2.6247	0.119	0.59524	0.0086736	0.15217	-0.37767	-3.2254	0.12	0.3871	0.0012579	0.013241
RECQL	10	-0.056375	-0.22961	0.881	0.96638	0.8184	0.94449	0.28103	1.1501	0.058	0.2757	0.25008	0.45484
RERG	10	0.082115	1.0698	0.496	0.88909	0.28471	0.65395	0.099969	1.3025	0.415	0.68033	0.19275	0.39098
REST	10	-0.19755	-1.5669	0.337	0.78923	0.11714	0.45579	-0.33276	-2.6389	0.158	0.43767	0.0083181	0.051665
RET	10	0.39541	3.0477	0.008	0.16667	0.0023064	0.068562	0.16237	1.2514	0.236	0.53452	0.21079	0.41332
RFX6	10	-0.043425	-0.28595	0.946	0.98351	0.77492	0.92968	0.19564	1.2889	0.168	0.45652	0.19743	0.39408
RGS12	10	0.14402	0.86456	0.272	0.74387	0.38728	0.74621	0.37809	2.2701	0.013	0.11504	0.023199	0.10642
RGS7	10	0.10879	0.83918	0.385	0.81953	0.40137	0.75947	0.30792	2.3766	0.039	0.22674	0.017472	0.090999
RHOU	10	0.58743	1.953	0.002	0.060606	0.050824	0.31568	0.31371	1.042	0.039	0.22674	0.2974	0.50121
RILPL1	10	0.027082	0.19179	0.745	0.94921	0.8479	0.95669	-0.11128	-0.78796	0.757	0.88863	0.43072	0.61859
RMI1	10	-0.33505	-1.4093	0.087	0.54037	0.15875	0.51217	-0.3389	-1.4264	0.149	0.42571	0.15377	0.34019
RNASEH2B	10	-0.2666	-1.1625	0.194	0.66438	0.24503	0.61566	-0.4801	-2.0914	0.052	0.25616	0.036497	0.14426
RNF111	10	0.053336	0.45155	0.632	0.94428	0.65159	0.88172	0.037939	0.32123	0.636	0.83029	0.74804	0.863
RNF112	10	-0.10138	-0.74712	0.685	0.9478	0.45499	0.79259	-0.028643	-0.21127	0.914	0.95507	0.83268	0.91199
RNF13	10	0.32151	2.3214	0.029	0.33708	0.020266	0.22028	0.1619	1.1687	0.237	0.53452	0.24251	0.4475
RNF180	10	-0.016536	-0.089906	0.936	0.98115	0.92836	0.98136	0.36144	1.9703	0.015	0.12598	0.048807	0.16888
RNF40	10	-0.29457	-1.9845	0.145	0.61966	0.047195	0.30646	-0.32877	-2.2152	0.162	0.44384	0.026745	0.11885
RNF4	10	-0.236	-1.0649	0.255	0.73487	0.28691	0.65395	-0.68095	-3.0691	0.009	0.10345	0.0021474	0.021053
RNF6	10	0.12741	0.88992	0.327	0.78417	0.37351	0.73926	0.12683	0.88608	0.343	0.63586	0.37558	0.57165
RNF7	10	0.12059	0.69829	0.344	0.79128	0.485	0.79809	-0.012244	-0.070894	0.846	0.93488	0.94348	0.97066
RNPC3	10	-0.83205	-3.0461	0	0	0.0023183	0.068562	-1.4734	-5.3419	0	0	9.1995e-08	4.3807e-06
ROS1	10	0.0044758	0.030789	0.846	0.94949	0.97544	0.99066	0.013987	0.096237	0.74	0.88095	0.92333	0.9626
RPA4	10	0.27062	1.7057	0.069	0.5035	0.088063	0.41539	0.2216	1.3969	0.131	0.40432	0.16245	0.35087
RPAP2	10	-0.54575	-2.1363	0.005	0.13158	0.032655	0.26767	-0.97861	-3.7996	0.002	0.034483	0.00014493	0.0021763
RPL12	32	0	0	0.801	0.94921	1	1	0	0	0.724	0.86826	1	1
RPL13A	52	0	0	0.801	0.94921	1	1	0	0	0.724	0.86826	1	1
RPL27A	32	0	0	0.801	0.94921	1	1	0	0	0.724	0.86826	1	1
RPL35A	14	-0.35203	-2.1694	0.028	0.33333	0.030052	0.26132	-0.48898	-3.0124	0.012	0.11504	0.0025922	0.023144
RPL39L	5	-0.76185	-2.1996	0.007	0.15556	0.027834	0.24851	-0.5812	-1.6792	0.104	0.35986	0.093105	0.2572
RPL7A	53	0	0	0.801	0.94921	1	1	0	0	0.724	0.86826	1	1
RPL9	21	0	0	0.801	0.94921	1	1	0	0	0.724	0.86826	1	1
RPP30	10	-0.34041	-1.0239	0.083	0.5375	0.30588	0.66497	-0.51705	-1.5527	0.039	0.22674	0.1205	0.29753
RPS12	28	0	0	0.801	0.94921	1	1	0	0	0.724	0.86826	1	1
RPS15	39	0	0	0.801	0.94921	1	1	0	0	0.724	0.86826	1	1
RPS21	19	0	0	0.801	0.94921	1	1	0	0	0.724	0.86826	1	1
RPS24	45	0	0	0.801	0.94921	1	1	0	0	0.724	0.86826	1	1
RPS26	18	0	0	0.801	0.94921	1	1	0	0	0.724	0.86826	1	1
RPS27L	13	-0.18904	-1.6521	0.291	0.76562	0.098523	0.43432	-0.34276	-2.9947	0.129	0.40062	0.0027468	0.023477
RPS6KA3	10	0.23037	1.7144	0.112	0.58031	0.086456	0.41169	0.35709	2.6586	0.015	0.12598	0.0078467	0.050299
RRAGD	10	-0.10155	-0.56741	0.684	0.9478	0.57044	0.84408	-0.11355	-0.6346	0.752	0.88863	0.52569	0.69352
RREB1	10	0.33293	2.0167	0.021	0.27273	0.043725	0.29669	0.27617	1.6729	0.063	0.29032	0.094344	0.25919
RRP12	10	-0.57185	-3.5959	0.002	0.060606	0.00032325	0.033466	-0.58947	-3.7083	0.018	0.13139	0.00020863	0.0029805
RRP1B	10	0.33188	2.4305	0.021	0.27273	0.015077	0.21236	-0.053557	-0.39156	0.983	0.99093	0.69538	0.82489
RRP36	10	-0.18307	-1.5989	0.378	0.81624	0.10984	0.44472	-0.14801	-1.2929	0.614	0.81541	0.19605	0.39408
RTF1	10	-0.35084	-2.8009	0.074	0.51034	0.0050961	0.12429	-0.26765	-2.1378	0.275	0.57411	0.032533	0.13388
RXRG	10	-0.076585	-0.63671	0.795	0.94921	0.52431	0.81924	0.027183	0.22604	0.695	0.86543	0.82117	0.90467
S100A6	10	0.14297	1.2245	0.273	0.74387	0.22075	0.58866	0.10422	0.89266	0.397	0.66835	0.37204	0.56814
SAC3D1	10	0.054215	0.39257	0.629	0.94428	0.69464	0.89885	0.29576	2.1419	0.046	0.24084	0.032204	0.13339
SAFB	10	-0.14888	-0.98971	0.484	0.88321	0.32232	0.68143	-0.059784	-0.39769	0.956	0.97467	0.69086	0.8205
SAP130	10	-0.13704	-0.90309	0.532	0.89865	0.36648	0.73221	-0.18262	-1.2036	0.5	0.73314	0.22874	0.43158
SAP30	10	-0.26001	-2.2078	0.205	0.67427	0.027256	0.24851	-0.1975	-1.6778	0.459	0.70661	0.093381	0.25725
SASH3	10	0.082489	0.83339	0.495	0.88909	0.40463	0.76058	0.10101	1.0206	0.41	0.67881	0.30743	0.50815
SATB2	10	-0.16517	-1.0414	0.435	0.86139	0.29768	0.65395	0.16422	1.0375	0.231	0.53452	0.29951	0.50269
SBF1	10	0.52235	2.2632	0.003	0.081081	0.02362	0.23859	0.35449	1.5358	0.016	0.12598	0.12458	0.30165
SCAF4	10	0.028363	0.19637	0.739	0.94921	0.84432	0.95511	0.03744	0.25928	0.638	0.83073	0.79542	0.88973
SCAND3	10	-0.20102	-1.5355	0.331	0.78723	0.12465	0.46727	0.083387	0.63743	0.464	0.70948	0.52385	0.69352
SCNM1	10	-0.059088	-0.44357	0.874	0.96638	0.65736	0.88606	0.27501	2.0668	0.065	0.29545	0.038753	0.14848
SDCBP	10	0.084524	0.63105	0.484	0.88321	0.52801	0.82116	-0.19672	-1.4667	0.46	0.70661	0.14245	0.32898
SEC13	10	-0.26071	-1.3461	0.204	0.67327	0.17826	0.53694	-0.36586	-1.889	0.128	0.40062	0.058897	0.18999
SEC24C	10	-0.29188	-2.2026	0.152	0.62041	0.027625	0.24851	0.017692	0.13371	0.724	0.86826	0.89363	0.94364
SECISBP2	10	0.023029	0.18055	0.768	0.94921	0.85672	0.96045	0.03951	0.30981	0.629	0.8233	0.7567	0.86522
SELENBP1	10	0.21439	0.92406	0.135	0.59912	0.35546	0.72395	0.44661	1.9307	0.005	0.067568	0.053523	0.18082
SELM	10	0.12602	0.64637	0.33	0.78723	0.51804	0.81453	-0.12599	-0.64475	0.689	0.86341	0.51909	0.69119
SENP5	10	0.30537	1.9462	0.038	0.38	0.051626	0.31868	0.36218	2.3088	0.015	0.12598	0.020955	0.10222
SEPSECS	10	-0.40369	-2.2777	0.042	0.40566	0.022742	0.23206	-0.89077	-5.0041	0.002	0.034483	5.6111e-07	2.1581e-05
SEPT1	10	-0.30527	-2.5225	0.124	0.59524	0.011651	0.18386	-0.19362	-1.6012	0.469	0.71277	0.10934	0.27822
SERPINA3	10	0.16264	1.0858	0.231	0.71472	0.27757	0.64253	0.20943	1.3984	0.146	0.42075	0.162	0.35078
SERTAD3	10	0.019977	0.19879	0.785	0.94921	0.84243	0.95405	-0.050953	-0.50706	0.989	0.99297	0.61211	0.75058
SESN2	10	0.23008	1.5337	0.112	0.58031	0.1251	0.46727	0.37316	2.4881	0.013	0.11504	0.012843	0.07135
SETDB1	10	-0.25435	-1.6111	0.217	0.68454	0.10715	0.44266	0.039797	0.2522	0.629	0.8233	0.80088	0.89384
SET	10	-0.079422	-0.39894	0.781	0.94921	0.68994	0.89793	-0.082567	-0.41503	0.857	0.93559	0.67812	0.80921
SF3A1	10	-0.31106	-1.3523	0.111	0.58031	0.17629	0.53582	-0.51641	-2.2391	0.04	0.23121	0.025148	0.11379
SFMBT2	10	0.40127	1.7914	0.008	0.16667	0.073236	0.37765	0.24276	1.0835	0.096	0.34783	0.27857	0.48163
SGK223	10	0.19488	1.4417	0.158	0.62598	0.14937	0.49462	0.19497	1.4433	0.17	0.45822	0.14893	0.3358
SH2D4A	10	0.080932	0.45377	0.502	0.89007	0.65	0.88075	0.25966	1.4575	0.078	0.32016	0.14497	0.33095
SH3BP4	10	0.041767	0.42196	0.677	0.9478	0.67305	0.89501	0.082368	0.8322	0.468	0.71277	0.4053	0.59866
SHISA5	10	0.053851	0.59968	0.63	0.94428	0.54872	0.83614	0.15274	1.7012	0.262	0.55932	0.088905	0.25257
SHROOM4	10	0.10967	1.1247	0.382	0.81624	0.26073	0.62996	0.055032	0.56439	0.559	0.77964	0.57249	0.72929
SIM2	10	0.17691	1.7473	0.197	0.67003	0.080585	0.39793	0.051218	0.5058	0.576	0.78755	0.613	0.75058
SIN3A	10	0.037256	0.29708	0.701	0.94921	0.76641	0.92899	-0.27107	-2.1611	0.268	0.56421	0.030688	0.1291
SIX2	10	0.15022	1.4041	0.255	0.73487	0.16028	0.51217	0.22608	2.1149	0.124	0.39557	0.034438	0.13886
SKI	10	0.186	1.13	0.173	0.63603	0.25849	0.62996	0.028496	0.17303	0.688	0.86341	0.86262	0.92656
SLC22A18	10	0.19147	1.4862	0.162	0.62642	0.13723	0.47723	0.17017	1.321	0.218	0.51905	0.18651	0.38063
SLC25A22	10	-0.0994	-0.5852	0.695	0.94921	0.55841	0.83647	0.052432	0.30934	0.569	0.78591	0.75706	0.86522
SLC26A8	10	-0.032009	-0.28008	0.999	0.999	0.77942	0.92972	0.075569	0.6613	0.488	0.72296	0.50842	0.68612
SLFN5	10	-0.10141	-0.61932	0.684	0.9478	0.53571	0.82543	0.10294	0.62933	0.401	0.66889	0.52913	0.69714
SMARCA1	10	0.21989	1.1854	0.125	0.59524	0.23587	0.60324	0.15195	0.81923	0.267	0.56421	0.41266	0.60774
SMARCAD1	10	0.084146	0.58399	0.486	0.88525	0.55923	0.83647	0.25416	1.7645	0.081	0.32016	0.077641	0.22778
SMC2	10	-0.68113	-3.4012	0	0	0.00067091	0.042946	-1.0878	-5.4182	0	0	6.0199e-08	3.01e-06
SMIM19	10	0.049532	0.34303	0.649	0.94614	0.73157	0.90882	0.27553	1.911	0.064	0.29358	0.056007	0.18542
SNAI3	10	0.012871	0.11849	0.809	0.94921	0.90568	0.97431	-0.059395	-0.54679	0.959	0.97467	0.58453	0.73635
SNAPC2	10	-0.21873	-0.97643	0.293	0.76562	0.32885	0.69017	-0.68562	-3.0522	0.009	0.10345	0.0022716	0.02143
SND1	10	0.047843	0.40223	0.658	0.94676	0.68752	0.89754	0.10498	0.88271	0.394	0.6661	0.37739	0.57174
SNRNP200	10	-1.0158	-3.8489	0	0	0.00011863	0.019771	-1.2041	-4.5568	0	0	5.1939e-06	0.00014428
SNRNP25	10	-0.88047	-3.0672	0	0	0.0021604	0.068562	-0.87274	-3.047	0.002	0.034483	0.0023112	0.0216
SNRNP27	10	-0.26944	-1.8072	0.19	0.65744	0.07073	0.37424	-0.65934	-4.4199	0.01	0.11364	9.8765e-06	0.00025324
SNRPA1	10	-0.68246	-3.1111	0	0	0.0018636	0.068562	-0.80333	-3.6619	0.002	0.034483	0.00025037	0.0034277
SOHLH1	10	-0.15208	-1.1683	0.479	0.88321	0.24269	0.61441	-0.14379	-1.1054	0.622	0.82166	0.269	0.47023
SOX21	10	0.20787	1.8526	0.139	0.60699	0.063943	0.36126	0.17339	1.5454	0.214	0.51905	0.12225	0.29816
SOX30	10	0.060661	0.48843	0.6	0.9375	0.62524	0.86605	0.072854	0.58677	0.5	0.73314	0.55736	0.71772
SOX7	10	0.2947	2.2462	0.046	0.41071	0.024692	0.24447	0.14389	1.0965	0.299	0.60282	0.27285	0.4737
SPAST	10	0.011198	0.071759	0.82	0.94921	0.94279	0.98707	0.0028823	0.018471	0.789	0.91109	0.98526	0.99824
SPATS2L	10	0.21044	1.8285	0.136	0.59912	0.06748	0.37077	0.23468	2.0396	0.106	0.36301	0.041389	0.15328
SPDEF	10	0.167	1.5017	0.216	0.68454	0.13317	0.47223	0.077134	0.69359	0.484	0.72131	0.48794	0.66932
SPEN	10	0.11389	0.58666	0.37	0.80963	0.55743	0.83647	-0.51508	-2.6494	0.041	0.23164	0.0080639	0.051362
SREBF1	10	-0.093716	-0.79687	0.72	0.94921	0.42553	0.77667	-0.2708	-2.3024	0.268	0.56421	0.021312	0.10256
SREK1	10	-0.14721	-1.2262	0.496	0.88909	0.22013	0.58866	-0.30038	-2.5016	0.217	0.51905	0.012362	0.069844
SRMS	10	0.089306	0.96542	0.46	0.87571	0.33433	0.6985	0.081075	0.8765	0.474	0.71601	0.38076	0.57256
SRP72	10	-0.42302	-2.0549	0.03	0.33708	0.039893	0.28908	-0.70666	-3.4297	0.007	0.088608	0.00060434	0.0071099
SRRM1	10	-0.53728	-2.4027	0.006	0.13953	0.016276	0.21639	-1.0755	-4.7964	0	0	1.6156e-06	5.571e-05
SRRT	10	-0.31202	-1.5404	0.109	0.58031	0.12346	0.46727	-0.93654	-4.611	0.002	0.034483	4.0067e-06	0.00011785
SRSF1	10	-0.82527	-2.7209	0	0	0.0065108	0.14002	-1.3125	-4.3056	0	0	1.6651e-05	0.00039513
SS18L1	10	-0.0043744	-0.035261	0.885	0.96638	0.97187	0.98991	0.044949	0.36244	0.598	0.80054	0.71702	0.83919
STAG2	10	0.11071	0.86841	0.381	0.81624	0.38517	0.74474	-0.096042	-0.75328	0.812	0.928	0.45128	0.63471
STAMBP	10	0.14042	0.60684	0.288	0.76562	0.54396	0.83429	-0.021932	-0.094741	0.888	0.95075	0.92452	0.9626
STAT4	10	0.048282	0.42913	0.654	0.94676	0.66783	0.89282	-0.085103	-0.75625	0.848	0.93495	0.4495	0.63309
STK11	10	-0.29871	-2.2498	0.134	0.59912	0.024459	0.24447	-0.36758	-2.7686	0.125	0.39557	0.00563	0.039648
STK32B	10	0.059282	0.68983	0.608	0.94281	0.4903	0.80002	0.073319	0.8532	0.498	0.73235	0.39355	0.58889
SUFU	10	-0.14287	-0.73454	0.515	0.8931	0.46262	0.79499	-0.19673	-1.0118	0.46	0.70661	0.31165	0.51427
SUGP2	10	0.056497	0.38882	0.615	0.94428	0.69741	0.89965	0.040046	0.27564	0.629	0.8233	0.78283	0.88057
SUV39H2	10	-0.023447	-0.15635	0.961	0.98665	0.87575	0.96695	0.29731	1.9844	0.046	0.24084	0.047214	0.16742
SYNE4	10	0.35661	1.7575	0.013	0.22414	0.078831	0.39614	0.36898	1.8186	0.013	0.11504	0.068965	0.2109
TACC1	10	0.2115	1.3599	0.135	0.59912	0.17385	0.53239	0.27426	1.7644	0.067	0.30045	0.077673	0.22778
TADA1	10	-0.22925	-1.2387	0.266	0.74095	0.21545	0.58865	-0.57629	-3.1114	0.022	0.15493	0.0018621	0.018809
TADA3	10	-0.083703	-0.54643	0.762	0.94921	0.58477	0.8491	-0.94748	-6.1724	0.002	0.034483	6.7267e-10	6.1152e-08
TAF5L	10	-0.03045	-0.19947	0.997	0.999	0.8419	0.95405	-0.44801	-2.9287	0.071	0.31556	0.0034035	0.027448
TAF6	10	-0.52747	-2.3592	0.006	0.13953	0.018316	0.21639	-0.88595	-3.9483	0.002	0.034483	7.8694e-05	0.0014052
TAF8	10	-0.50765	-3.3331	0.009	0.16981	0.00085892	0.042946	-0.63463	-4.1655	0.011	0.11504	3.1073e-05	0.00069051
TBCK	10	0.1392	1.164	0.293	0.76562	0.24442	0.61566	0.25597	2.1409	0.08	0.32016	0.03228	0.13339
TBL1X	10	0.079488	0.59875	0.51	0.8931	0.54934	0.83614	0.13245	0.99785	0.326	0.61742	0.31835	0.51956
TBL1Y	10	0.14998	0.96214	0.255	0.73487	0.33598	0.6985	0.23969	1.5395	0.102	0.35664	0.12369	0.30051
TBX15	10	0.15699	1.029	0.24	0.72508	0.30346	0.66258	0.26955	1.768	0.072	0.31858	0.077069	0.22778
TBX5	10	0.18957	1.0994	0.166	0.62642	0.2716	0.63875	0.12811	0.74312	0.34	0.63433	0.45741	0.64063
TCEAL8	10	-0.028897	-0.22656	0.986	0.99495	0.82077	0.94449	0.23781	1.8649	0.103	0.35889	0.062201	0.19684
TCERG1	10	0.013203	0.11548	0.809	0.94921	0.90806	0.97431	0.21076	1.8443	0.146	0.42075	0.065139	0.20352
TCF24	10	-0.027989	-0.16017	0.98	0.9909	0.87275	0.9665	-0.20009	-1.1441	0.448	0.70312	0.25259	0.45677
TDP2	10	-0.11257	-1.091	0.638	0.94428	0.27528	0.64038	-0.062302	-0.60389	0.941	0.9701	0.54591	0.70898
TEAD1	10	0.34937	2.0975	0.016	0.25397	0.035948	0.27515	0.40049	2.4053	0.011	0.11504	0.016159	0.085261
TEAD3	10	-0.10596	-0.4963	0.664	0.9478	0.61968	0.86187	-0.010379	-0.048688	0.839	0.93326	0.96117	0.98078
TERF1	10	-0.20554	-1.1303	0.318	0.78417	0.25835	0.62996	-0.22304	-1.2268	0.383	0.66437	0.21991	0.4229
TERF2IP	10	-0.05066	-0.36243	0.91	0.97647	0.71703	0.90029	0.13629	0.97533	0.316	0.61598	0.3294	0.52895
TESC	10	-0.02149	-0.22993	0.954	0.98351	0.81815	0.94449	-0.085947	-0.9196	0.847	0.93488	0.35778	0.55384
TESPA1	10	0.088541	0.74347	0.465	0.87571	0.4572	0.79259	0.11672	0.98037	0.368	0.65018	0.3269	0.52727
THEG	10	0.16828	1.008	0.214	0.68371	0.31346	0.67555	0.10368	0.62102	0.4	0.66889	0.53459	0.70064
TIGD4	10	0.15194	1.0551	0.251	0.73487	0.29138	0.65395	0.20723	1.4396	0.148	0.42529	0.14999	0.33706
TIGD5	10	0.050323	0.47848	0.644	0.94428	0.63231	0.87029	-0.099452	-0.94554	0.795	0.91379	0.34438	0.54199
TKTL1	10	0.0073175	0.060738	0.837	0.94921	0.95157	0.98707	0.26188	2.1765	0.077	0.32016	0.029516	0.12668
TLX3	10	0.19087	0.85121	0.164	0.62642	0.39465	0.75749	0.25053	1.1188	0.085	0.32946	0.26323	0.46671
TMEM119	10	-0.088556	-0.98419	0.745	0.94921	0.32502	0.68426	0.13639	1.516	0.316	0.61598	0.12951	0.30681
TMEM120A	10	-0.085123	-0.71658	0.756	0.94921	0.47363	0.79809	-0.022493	-0.18936	0.889	0.9508	0.84981	0.91697
TMEM127	10	-0.01238	-0.12017	0.921	0.97875	0.90435	0.97431	-0.21204	-2.0581	0.415	0.68033	0.039583	0.15051
TMEM132A	10	0.11147	0.95577	0.378	0.81624	0.33919	0.70264	-0.059959	-0.51402	0.955	0.97467	0.60724	0.74897
TMEM132E	10	-0.019295	-0.15001	0.948	0.98351	0.88076	0.96931	-0.13906	-1.081	0.642	0.83312	0.27969	0.48163
TMEM144	10	0.058214	0.55679	0.61	0.94281	0.57767	0.84578	-0.1157	-1.1065	0.741	0.88109	0.26852	0.47023
TMEM150C	10	0.27688	1.6809	0.061	0.488	0.092778	0.42755	0.26165	1.589	0.077	0.32016	0.11207	0.28371
TMEM151B	10	-0.33984	-2.1518	0.084	0.5375	0.031414	0.26767	-0.36342	-2.3021	0.128	0.40062	0.021332	0.10256
TMEM154	10	0.28598	1.8188	0.053	0.43802	0.068935	0.37306	0.27756	1.7658	0.061	0.28241	0.077437	0.22778
TMEM170B	10	-0.46414	-3.0361	0.017	0.26562	0.0023964	0.068562	-0.23647	-1.5493	0.344	0.63586	0.12131	0.29806
TMEM173	10	-0.12554	-1.1243	0.577	0.93065	0.26088	0.62996	0.11463	1.0273	0.373	0.65439	0.3043	0.50733
TMEM180	10	-0.16371	-1.055	0.441	0.8664	0.29143	0.65395	0.081388	0.52466	0.474	0.71601	0.59982	0.74512
TMEM192	10	0.17264	1.1968	0.204	0.67327	0.23137	0.59632	-0.059203	-0.41017	0.96	0.97467	0.68168	0.81152
TMEM194A	10	0.040397	0.20308	0.682	0.9478	0.83907	0.95383	0.047161	0.23727	0.585	0.78947	0.81245	0.90072
TMEM200B	10	-0.074346	-0.58405	0.808	0.94921	0.55919	0.83647	0.24943	1.9611	0.086	0.3295	0.049865	0.17136
TMEM200C	10	-0.071852	-0.51953	0.816	0.94921	0.60339	0.85536	0.39349	2.8479	0.012	0.11504	0.0044011	0.033854
TMEM204	10	0.028608	0.23584	0.738	0.94921	0.81356	0.94449	0.084654	0.69807	0.458	0.70661	0.48513	0.6666
TMEM219	10	0.10555	0.80245	0.397	0.82708	0.42229	0.77667	0.073947	0.56219	0.495	0.73117	0.57399	0.72933
TMEM237	10	-0.14442	-1.2228	0.505	0.89223	0.22141	0.58887	-0.028561	-0.24198	0.914	0.95507	0.80879	0.89866
TMEM246	10	0.031964	0.25192	0.722	0.94921	0.8011	0.94026	0.14819	1.1687	0.282	0.58264	0.24254	0.4475
TMEM249	10	-0.013302	-0.10535	0.925	0.97884	0.9161	0.97769	-0.20115	-1.5913	0.447	0.70312	0.11154	0.2831
TMEM251	10	-0.28473	-1.7303	0.165	0.62642	0.083584	0.40184	-0.22192	-1.3487	0.385	0.66437	0.17742	0.36804
TMEM259	10	-0.19134	-1.6532	0.355	0.80361	0.098293	0.43432	-0.33235	-2.871	0.158	0.43767	0.0040913	0.032215
